id,date_requested,subject,denied_section,source_url
1,2016-02-09,Detention and deporation of New Zealanders from Australia,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
2,2016-03-30,Prime Minister’s recent visit to Sri Lanka,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
3,2016-04-06,Communications regarding the 2016 US Presidential Election,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
4,2016-05-25,Britain possibly leaving the European Union,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
5,2016-06-07,Panama Papers,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
6,2016-08-16,Decision to extend New Zealand’s training mission to Iraq,6a,https://fyi.org.nz/request/4578/response/14960/attach/3/23092016145125%200001.pdf
7,2017-01-01,Intelligence and advice to the NZ government related to the 9/11 event,6a,https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
8,2017-01-01,Record of OIAs from February 2017,6,https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
9,2017-01-01,Preparation for Trump Administration,"6a,6b",https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
10,2017-01-01,NSS handbook examples of 1080 and domestic incident,6a,https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
11,2017-01-01,The steel industry and trade issues,6a,https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
12,2017-01-01,Meetings with Australian officials on social security,"6a,6b",https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
13,2017-01-01,Interactions with United States Film Industry representatives,6a,https://fyi.org.nz/request/6763/response/22439/attach/4/4010430%20Marcus%20OIAs%20refused%20under%20section%206.PDF.pdf
14,2018-04-13,Advice relating to Labour Party summer schools,6c,
15,2018-04-18,Weekly reports provided to the Minister for National Security and Intelligence,"6a,6bi",
16,2018-04-20,Correspondence with the Office of the President of the United States,6a,
17,2018-05-18,Information including individual costs of gifts given during visit to Europe and the UK,6a,
18,2018-06-28,Prime Minister's diary,6a,
19,2018-07-03,Records of meeting with former President of the United States,6a,
20,2018-07-13,"Documents received as Minister for Arts, Culture & Heritage, Minister for Child Poverty Reduction and Minister for National Security & Intelligence",6bi,
21,2018-07-24,Records relating to visit to NZ by former US Secretary of State Hillary Clinton  ,"6a,6c",
22,2018-07-30,Correspondence with the President of the United States,6a,
