WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"MULTILINESTRING ((174.77151645 -36.8624940667,174.7725600167 -36.8637647167,174.773312 -36.8641164667,174.77377365 -36.86425345),(174.773854719405 -36.8645587304279,174.77388375 -36.86466805),(174.77377365 -36.86425345,174.773854719405 -36.8645587304279))",3072981,Addressing Road,Unknown,Road,Grandstand Road South,Grandstand Rd S,,Grandstand,Road,South,,,,,Grandstand Road South,Grandstand Rd S,Grandstand
"MULTILINESTRING ((174.7766866167 -36.8660077833,174.7769056333 -36.8653058),(174.7762894167 -36.8672719333,174.7765086833 -36.8665780667),(174.7765086833 -36.8665780667,174.77663545 -36.8661730667))",1825417,Addressing Road,Unknown,Road,Kingdon Street,Kingdon St,,Kingdon,Street,,,,,,Kingdon Street,Kingdon St,Kingdon
"LINESTRING (174.7690558333 -36.8636370167,174.76923125 -36.86326235,174.7694855667 -36.8625495333)",1825413,Addressing Road,Unknown,Road,Glasgow Terrace,Glasgow Tce,,Glasgow,Terrace,,,,,,Glasgow Terrace,Glasgow Tce,Glasgow
"LINESTRING (174.77661095 -36.8673343167,174.7763521 -36.8681231667)",1825428,Addressing Road,Unknown,Road,York Street,York St,,York,Street,,,,,,York Street,York St,York
"MULTILINESTRING ((174.7671774833 -36.8653130333,174.76755 -36.8645596167,174.76755315 -36.8645521),(174.7675484 -36.8645501833,174.7678714 -36.8634887333,174.7680158833 -36.8634188667))",1825430,Addressing Road,Unknown,Road,Claremont Street,Claremont St,,Claremont,Street,,,,,,Claremont Street,Claremont St,Claremont
"MULTILINESTRING ((174.771338508771 -36.8699909786325,174.771445213053 -36.8698770239071),(174.771445213053 -36.8698770239071,174.771449381627 -36.8698725720831),(174.7725771167 -36.8664669833,174.772547731957 -36.8665650643732),(174.772547731957 -36.8665650643732,174.7719671333 -36.868503),(174.77145465647 -36.8698678847234,174.771449381627 -36.8698725720831),(174.7719671333 -36.868503,174.7715819333 -36.8697547833,174.77145465647 -36.8698678847234))",1818884,Addressing Road,Unknown,Road,Maungawhau Road,Maungawhau Rd,,Maungawhau,Road,,,,,,Maungawhau Road,Maungawhau Rd,Maungawhau
"MULTILINESTRING ((174.7717541833 -36.86085535,174.7720110667 -36.8608911333),(174.7720110667 -36.8608911333,174.7725869 -36.8608867333,174.7730432833 -36.86060865,174.7732917333 -36.8601662667,174.77455935 -36.8596196333))",1829884,Addressing Road,Unknown,Road,Kiosk Road,Kiosk Rd,,Kiosk,Road,,,,,,Kiosk Road,Kiosk Rd,Kiosk
"LINESTRING (174.7762016833 -36.8519174167,174.7766784333 -36.8517607667,174.7769054333 -36.8515317833,174.7769108833 -36.8515249667)",1823946,Addressing Road,Unknown,Road,Mutu Street,Mutu St,,Mutu,Street,,,,,,Mutu Street,Mutu St,Mutu
"LINESTRING (174.7824484 -36.85113255,174.7833748667 -36.8509461833)",1824003,Addressing Road,Unknown,Road,Faraday Street,Faraday St,,Faraday,Street,,,,,,Faraday Street,Faraday St,Faraday
"MULTILINESTRING ((174.77053845 -36.86223045,174.7705459 -36.8622284667,174.7705538 -36.8622263833,174.7705617167 -36.8622243,174.77056965 -36.8622222333,174.7705776167 -36.8622202333,174.77058565 -36.8622182,174.7705937333 -36.8622161833,174.7706019167 -36.8622141667,174.7706101667 -36.8622121667,174.7706184833 -36.8622101667,174.7706269167 -36.8622081667,174.7706353667 -36.8622061833,174.77064385 -36.8622041667,174.7706524 -36.8622021,174.770656298796 -36.8622012661081),(174.7818177333 -36.8621907667,174.7814806667 -36.8620110833,174.7811605167 -36.8617906167),(174.770656298796 -36.8622012661081,174.7706612833 -36.8622002,174.7706701167 -36.8621982333,174.7706789667 -36.8621962,174.7706877833 -36.8621941167,174.7706966 -36.86219195,174.7707054167 -36.8621897,174.7707142167 -36.8621874,174.770723 -36.8621849833,174.7707317333 -36.8621825167,174.7707363333 -36.8621812,174.7707450667 -36.86217865,174.7707537833 -36.8621760333,174.7707624833 -36.86217335,174.77077115 -36.8621706167,174.7707797333 -36.8621677667,174.7707883167 -36.8621648833,174.7707968333 -36.86216205,174.7708053167 -36.8621592333,174.7708137667 -36.86215635,174.7708221167 -36.8621533833,174.77083045 -36.8621503833,174.7708387167 -36.8621473,174.7708469167 -36.8621441667,174.7708551333 -36.8621409667,174.7708635167 -36.8621377667,174.7708719833 -36.8621345167,174.7708804833 -36.8621312167,174.77088895 -36.8621279,174.7708972333 -36.8621245167,174.7708985667 -36.862124,174.7709066833 -36.8621208333,174.77091465 -36.8621176667,174.7709222667 -36.8621146,174.7709295 -36.86211165,174.7709362833 -36.8621088,174.7709427167 -36.86210605,174.7709488833 -36.8621033833,174.77095725 -36.8621006833,174.7709657 -36.86209815,174.7709739 -36.86209525,174.7709817833 -36.8620918167,174.7709894667 -36.8620881667,174.7709971167 -36.8620844833,174.7710047 -36.8620807167,174.7710122667 -36.8620769167,174.77101975 -36.86207305,174.7710271667 -36.86206915,174.77103455 -36.86206515,174.77104185 -36.8620611167,174.7710491 -36.862057,174.77105625 -36.86205285,174.7710633667 -36.8620486333,174.7710704 -36.8620443333,174.7710773833 -36.8620399667,174.7710842667 -36.86203555,174.7710854833 -36.8620348333,174.77109265 -36.8620306,174.7710998 -36.8620262833,174.7711068667 -36.8620219,174.7711138667 -36.8620174667,174.7711208167 -36.8620129667,174.7711276833 -36.8620084,174.7711344833 -36.8620037667,174.7711411833 -36.86199905,174.7711478 -36.8619942833,174.7711543167 -36.8619894333,174.7711607333 -36.8619845,174.7711670333 -36.8619794833,174.7711732167 -36.8619744,174.7711793167 -36.86196925,174.7711852667 -36.8619640167,174.7711910833 -36.8619587,174.7711967667 -36.8619532833,174.7712023167 -36.8619478,174.7712077167 -36.8619422167,174.7712129667 -36.8619365333,174.7712180667 -36.8619307833,174.7712192333 -36.8619294,174.7712241333 -36.8619235833,174.7712288333 -36.86191765,174.7712334 -36.8619116167,174.7712378 -36.8619055167,174.77124205 -36.8618993167,174.7712462 -36.8618930167,174.7712502 -36.86188665,174.7712541 -36.8618802167,174.7712579 -36.8618737333,174.7712616 -36.8618671667,174.7712652 -36.86186055,174.7712687333 -36.8618539,174.7712721833 -36.8618471833,174.7712755833 -36.8618404333,174.7712789333 -36.86183365,174.7712822333 -36.86182685,174.7712855 -36.8618200167,174.7712887333 -36.8618131833,174.77129195 -36.8618063167,174.7712951667 -36.86179945,174.7712983667 -36.8617925833,174.7713015833 -36.8617857167,174.7713048167 -36.8617788667,174.7713080667 -36.8617720333,174.77131135 -36.8617652,174.7713144667 -36.8617596667,174.7713181667 -36.8617531,174.77132185 -36.8617465167,174.77132555 -36.86173995,174.77132925 -36.8617334,174.7713329333 -36.8617268333,174.77133665 -36.8617202667,174.7713403667 -36.8617137,174.77134405 -36.8617071167,174.77134775 -36.8617005667,174.77135145 -36.8616939833,174.77135515 -36.8616873833,174.7713588333 -36.8616807833,174.7713625333 -36.8616741333,174.7713662 -36.8616675,174.7713698833 -36.8616608833,174.7713735833 -36.8616542333,174.77137725 -36.8616475667,174.77138095 -36.8616409333,174.77138465 -36.8616342833,174.7713883333 -36.8616276333,174.77139205 -36.8616209833,174.77139575 -36.8616143667,174.7713994667 -36.8616077333,174.7714032 -36.8616011,174.7714069333 -36.8615945,174.7714106667 -36.8615879,174.7714144167 -36.8615813167,174.7714181833 -36.86157475,174.7714219667 -36.86156815,174.7714256333 -36.861562,174.77142955 -36.8615554833,174.7714334833 -36.8615489833,174.7714374 -36.8615425,174.77144135 -36.8615360167,174.7714453333 -36.86152955,174.7714493167 -36.8615231167,174.7714532833 -36.8615166667,174.7714572833 -36.8615102333,174.7714613 -36.8615038167,174.7714653167 -36.8614974,174.77146935 -36.8614910167,174.7714733833 -36.8614846167,174.7714774167 -36.8614782167,174.7714814667 -36.86147185,174.7714855167 -36.86146545,174.7714895667 -36.8614590833,174.7714936167 -36.8614527167,174.7714976833 -36.8614463333,174.7715017333 -36.86143995,174.77150575 -36.8614335667,174.7715098 -36.8614271833,174.7715138333 -36.8614208,174.77151785 -36.8614144167,174.7715218833 -36.8614080333,174.7715258667 -36.86140165,174.7715298833 -36.86139525,174.7715338667 -36.86138885,174.77153785 -36.86138245,174.7715418 -36.86137605,174.77154575 -36.8613696333,174.7715496833 -36.8613632,174.7715536 -36.8613567667,174.7715575 -36.8613503167,174.7715613833 -36.8613438833,174.77156525 -36.8613374167,174.7715691 -36.86133095,174.771572 -36.8613263,174.7715760167 -36.8613198833,174.7715800333 -36.8613134333,174.7715840333 -36.8613069833,174.77158805 -36.86130055,174.7715920333 -36.8612941167,174.7715960167 -36.8612876833,174.7715999833 -36.8612812,174.7716039167 -36.8612746833,174.7716078333 -36.8612681333,174.7716117333 -36.86126155,174.7716156167 -36.8612549333,174.7716991167 -36.8610844333,174.7717015167 -36.8610775333,174.77170385 -36.8610706333,174.7717061167 -36.8610637167,174.7717083 -36.8610567833,174.7717104667 -36.8610498333,174.77171255 -36.8610428667,174.77171455 -36.86103585,174.7717165167 -36.86102885,174.7717184333 -36.86102185,174.7717203 -36.8610148167,174.7717221167 -36.8610077833,174.7717238833 -36.8610007333,174.7717256 -36.8609936667,174.7717272833 -36.8609865833,174.7717289333 -36.8609795167,174.7717541833 -36.86085535),(174.7748489167 -36.8589702167,174.7754239333 -36.8587812167,174.7756932667 -36.8585680333),(174.7756932667 -36.8585680333,174.7769153833 -36.85816535),(174.7769153833 -36.85816535,174.7772799667 -36.8580356),(174.7811605167 -36.8617906167,174.7810746167 -36.8617314667,174.7806615 -36.8611298333),(174.7717541833 -36.86085535,174.7718359333 -36.8604128833,174.7719260833 -36.8602030167,174.7720636333 -36.8599807167,174.7722229 -36.8597978,174.7724043 -36.8596038833,174.7726064667 -36.8594513833,174.7728905833 -36.8592984833,174.7732069 -36.8591924333,174.7736662 -36.85911995,174.7741038333 -36.85908235),(174.7741038333 -36.85908235,174.7748489167 -36.8589702167),(174.7772799667 -36.8580356,174.7775471 -36.8580176667,174.77775935 -36.8580631,174.777966 -36.8581871,174.7781601667 -36.85843665,174.7786247833 -36.85919065,174.7791918 -36.8598907333,174.77956255 -36.86060805,174.7798969333 -36.8608411833,174.7806615 -36.8611298333))",1824344,Addressing Road,Unknown,Road,Domain Drive,Domain Dr,,Domain,Drive,,,,,,Domain Drive,Domain Dr,Domain
